GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2,com.pizzeria.exceptions,CustomerNotFoundException,11,0,0,0,4,0,2,0,2,0
lab2,com.pizzeria.exceptions,InvalidPriceException,3,8,0,0,1,3,1,1,1,1
lab2,com.pizzeria.exceptions,EmployeeNotFoundException,11,0,0,0,4,0,2,0,2,0
lab2,com.pizzeria.exceptions,InvalidPaymentException,6,30,0,0,2,7,2,2,2,2
lab2,com.pizzeria.exceptions,InvalidPizzaSizeException,3,8,0,0,1,3,1,1,1,1
lab2,com.pizzeria.exceptions,OutOfStockException,11,0,0,0,4,0,2,0,2,0
lab2,com.pizzeria.exceptions,DuplicateOrderException,11,0,0,0,4,0,2,0,2,0
lab2,com.pizzeria.exceptions,OrderNotFoundException,11,0,0,0,4,0,2,0,2,0
lab2,com.pizzeria.exceptions,InsufficientIngredientsException,39,0,0,0,9,0,4,0,4,0
lab2,com.pizzeria.exceptions,InvalidAuthenticationException,20,0,0,0,7,0,3,0,3,0
lab2,com.pizzeria.exceptions,InvalidDiscountException,3,15,0,0,1,3,1,1,1,1
lab2,com.pizzeria.exceptions,InvalidDeliveryAddressException,27,0,0,0,6,0,3,0,3,0
lab2,com.pizzeria.model.ingredients,Cheese,0,56,0,4,0,18,0,12,0,10
lab2,com.pizzeria.model.ingredients,Sauce,62,0,6,0,18,0,13,0,10,0
lab2,com.pizzeria.model.ingredients,Dough,0,55,0,4,0,16,0,12,0,10
lab2,com.pizzeria.model.ingredients,Vegetable,58,0,6,0,18,0,13,0,10,0
lab2,com.pizzeria.model.ingredients,Meat,61,0,6,0,18,0,13,0,10,0
lab2,com.pizzeria.model.ingredients,Ingredient,76,39,2,2,14,13,13,7,12,6
lab2,com.pizzeria.strategy,DiscountPricingStrategy,32,0,0,0,10,0,4,0,4,0
